name,synth,flatten,extract_fa,abc_script,area,delay,module,type1,type2,bitwidth,const_v,is_const,adder_1_area,adder_2_area,adder_1_delay,adder_2_delay
n_2_input/low_level_2_adder_2_3.v,0,0,1,5,1.19556,143.93,3,low,adder,2,1,False,0.33534,0.33534,37.1,37.1
n_2_input/low_level_2_adder_2_3.v,0,0,1,6,1.10808,144.56,3,low,adder,2,1,False,0.33534,0.33534,37.1,37.1
n_2_input/low_level_2_adder_2_3.v,0,0,1,7,1.10808,152.89,3,low,adder,2,1,False,0.33534,0.33534,41.99,37.1
n_2_input/low_level_2_adder_2_3.v,0,1,0,0,0.8748,63.4,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,0,1,0,1,0.91854,53.98,3,low,adder,2,1,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_3.v,0,1,0,2,0.8748,63.4,3,low,adder,2,1,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_3.v,0,1,0,3,1.19556,93.08,3,low,adder,2,1,False,0.64152,0.64152,39.39,39.39
n_2_input/low_level_2_adder_2_3.v,0,1,0,4,1.19556,93.08,3,low,adder,2,1,False,0.61236,0.64152,35.37,39.39
n_2_input/low_level_2_adder_2_3.v,0,1,0,5,1.34136,105.34,3,low,adder,2,1,False,0.729,0.729,53.24,53.24
n_2_input/low_level_2_adder_2_3.v,0,1,0,6,0.8748,63.4,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,0,1,0,7,0.8748,63.4,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,0,1,1,0,0.84564,121.95,3,low,adder,2,1,False,0.33534,0.33534,39.12,41.99
n_2_input/low_level_2_adder_2_3.v,0,1,1,1,0.84564,129.41,3,low,adder,2,1,False,0.33534,0.33534,39.12,37.1
n_2_input/low_level_2_adder_2_3.v,0,1,1,2,0.84564,127.14,3,low,adder,2,1,False,0.33534,0.33534,41.99,41.99
n_2_input/low_level_2_adder_2_3.v,0,1,1,3,0.90396,135.32,3,low,adder,2,1,False,0.33534,0.33534,41.99,37.1
n_2_input/low_level_2_adder_2_3.v,0,1,1,4,0.90396,132.94,3,low,adder,2,1,False,0.33534,0.33534,37.1,41.99
n_2_input/low_level_2_adder_2_3.v,0,1,1,5,0.96228,139.55,3,low,adder,2,1,False,0.33534,0.33534,39.12,41.99
